College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 123  Davidson             $  =  75.76   17  10   71.50( 200)    0   2  |    0   3  |   75.10  131 |   76.08  122
 124  Northern Illinois       =  75.75   16  11   73.65( 143)    0   0  |    0   1  |   76.09  118 |   75.08  131
 125  Drexel                  =  75.75   15  16   74.64( 110)    0   1  |    0   2  |   73.95  146 |   77.34  102
 126  Colorado State          =  75.61   14  15   75.20(  97)    0   0  |    0   0  |   74.17  144 |   76.78  110
 127  Holy Cross              =  75.57   20  12   70.82( 226)    0   0  |    0   2  |   74.65  137 |   76.19  120
 128  Dayton                  =  75.46   13  17   74.96( 102)    0   0  |    1   2  |   74.27  142 |   76.34  118
 129  Fresno State            =  75.39   15  13   74.61( 111)    0   0  |    1   1  |   75.76  122 |   74.68  134
 130  San Diego               =  75.38   17  12   72.81( 173)    0   0  |    0   3  |   74.59  139 |   75.85  126
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 131  Fordham                 =  75.18   16  16   74.94( 103)    0   0  |    0   1  |   75.50  125 |   74.52  136
 132  Buffalo                 =  75.13   18  13   73.17( 160)    0   0  |    0   1  |   75.81  120 |   74.13  140
 133  Siena                   =  75.05   15  13   73.94( 131)    0   0  |    0   1  |   74.61  138 |   75.14  130
 134  Missouri                =  75.04   12  16   77.52(  56)    1   3  |    1   4  |   75.99  119 |   73.78  146
 135  Mississippi             =  74.99   14  16   76.09(  80)    0   2  |    1   6  |   76.16  116 |   73.52  148
 136  Baylor                  =  74.91    4  13   82.62(   1)    0   3  |    0   3  |   74.69  135 |   74.80  133
 137  Utah                    =  74.79   13  15   75.00( 100)    0   0  |    0   0  |   73.68  151 |   75.58  128
 138  Samford                 =  74.64   18  11   71.25( 202)    0   1  |    0   1  |   75.10  132 |   73.84  144
 139  Rhode Island            =  74.60   14  14   74.29( 117)    0   0  |    0   2  |   74.78  133 |   74.07  141
 140  Texas A&M-CorpusChristi =  74.59   16   8   66.85( 313)    0   0  |    0   1  |   72.23  170 |   76.73  111
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 141  Northern Arizona        =  74.45   18  10   71.08( 213)    0   0  |    0   0  |   74.67  136 |   73.88  143
 142  Loyola-Chicago          =  74.40   17  11   72.58( 180)    0   0  |    0   0  |   75.50  124 |   72.98  151
 143  Drake                   =  74.29   10  19   77.82(  43)    0   0  |    0   4  |   73.19  152 |   75.08  132
 144  Oregon State            =  73.91   13  18   76.29(  79)    0   0  |    0   5  |   74.52  141 |   72.95  152
 145  UC Irvine               =  73.81   16  11   70.78( 229)    0   0  |    0   0  |   72.80  157 |   74.48  138
 146  Illinois-Chicago        =  73.70   16  14   73.84( 133)    0   0  |    0   1  |   74.70  134 |   72.37  161
 147  Indiana State           =  73.47   12  16   77.08(  69)    0   0  |    1   2  |   75.32  129 |   71.31  173
 148  Boise State             =  73.46   13  15   73.64( 144)    0   0  |    0   2  |   72.62  161 |   73.98  142
 149  Eastern Washington      =  73.46   14  15   73.77( 136)    0   0  |    0   2  |   72.36  166 |   74.23  139
 150  Purdue                  =  73.46    9  19   79.55(  13)    0   4  |    0  10  |   75.12  130 |   71.48  169
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 151  Arizona State           =  73.44   11  17   76.58(  76)    0   0  |    0   5  |   73.01  153 |   73.53  147
 152  Middle Tennessee        =  73.40   15  12   72.91( 168)    0   1  |    0   1  |   73.91  147 |   72.54  155
 153  Wyoming                 =  73.25   13  18   74.66( 108)    0   0  |    0   0  |   72.35  167 |   73.81  145
 154  Loyola Marymount        =  73.19   12  18   76.02(  82)    0   0  |    0   4  |   73.00  154 |   73.04  150
 155  Albany-NY            $  =  73.12   21  10   68.46( 285)    0   1  |    0   2  |   71.39  178 |   74.51  137
 156  Sam Houston State       =  73.08   18   9   70.28( 245)    0   0  |    0   0  |   75.47  127 |   70.38  186
